P_CUSTOMER_NAME,P_RECEIPT_AMOUNT,P_RECEIPT_NUMBER,P_RECEIPT_DATE,BILL_CUSTOMER_NAME,BILL_CUSTOMER_NUMBER,BUSINESS_UNIT,RECEIPT_METHOD,RECEIPT_NUMBER,RECEIPT_DATE,RECEIPT_AMOUNT,APPLIED_AMOUNT,CURRENCY,RECEIPT_STATUS_CODE,UNAPPLIED_AMOUNT
,,,,"Akzo Nobel Paints Marketing Sdn Bhd",67017,QC12-KA,"QC - AXIS BANK - 4062","BRN-REF NO.1541FIR2202337 USD",08-08-2022,470,0,USD,UNAPP,
,,,,"Jotun India",201359,QC12-KA,"QC - AXIS BANK - 8329",CITIN22318222859,08-08-2022,948.72,0,INR,UNAPP,
,,,,"Amazon Development Centre",200122,QC12-KA,"QC - AXIS BANK - 8329",HSBCN22223076414,11-08-2022,4000000,0,INR,UNAPP,
,,,,"Samast Technologies",202220,QC12-KA,"QC - AXIS BANK - 8329",208089628085,08-08-2022,673000,0,INR,UNAPP,
,,,,,,QC12-KA,"QC - AXIS BANK - 9303",CITIN22317405975,05-08-2022,41939,0,INR,UNID,
,,,,,,QC12-KA,"QC - AXIS BANK - 9303",CITIN22317405970,05-08-2022,195847,0,INR,UNID,
,,,,Goapptiv,201026,QC12-KA,"QC - AXIS BANK - 8329",ICICR42022081000503647,10-08-2022,1000000,0,INR,UNAPP,
,,,,Goapptiv,201025,QC12-KA,"QC - AXIS BANK - 8329",ICICR42022081000503558,10-08-2022,1000000,0,INR,UNAPP,
,,,,Rocketkommercellp,202160,QC12-KA,"QC - AXIS BANK - 8329",HDFCR52022080887660970,08-08-2022,10000000,6373602.63,INR,UNAPP,3626397.37
,,,,"Akzo Nobel Paints Marketing Sdn Bhd",67017,QC12-KA,"QC - AXIS BANK - 4062","BRN-REF NO.1541FIR2202335 USD",08-08-2022,1946,0,USD,UNAPP,
,,,,"Reward 360",202135,QC12-KA,"QC - AXIS BANK - 8329",N220222071273334,08-08-2022,77557.5,0,INR,UNAPP,
,,,,"Coaction Technologies",67051,QC12-KA,"QC - AXIS BANK - 8329",28911685671DC,08-08-2022,1000,700,INR,UNAPP,300
,,,,,,QC12-KA,"QC - AXIS BANK - 8329",222113092216,09-08-2022,1,0,INR,UNID,
,,,,,,QC12-KA,"QC - AXIS BANK - 8329","STRATEGIC CARAVAN",09-08-2022,722.75,0,INR,UNID,
,,,,,,QC12-KA,"QC - AXIS BANK - 9303",CITIN22317405947,05-08-2022,44335,0,INR,UNID,
,,,,Goapptiv,201026,QC12-KA,"QC - AXIS BANK - 8329",ICICR42022081000503603,10-08-2022,1000000,0,INR,UNAPP,
,,,,Goapptiv,201025,QC12-KA,"QC - AXIS BANK - 8329",ICICR42022081000541770,10-08-2022,1000000,0,INR,UNAPP,
,,,,"Neonkart India",86044,QC12-KA,"QC - AXIS BANK - 8329",25-718534914-1,09-08-2022,180000,0,INR,UNAPP,
,,,,"V Mart Retail",202659,QC12-KA,"QC - AXIS BANK - 8329",CMS2760400049,09-08-2022,14398,0,INR,UNAPP,
,,,,"Titan Company",202561,QC12-KA,"QC - AXIS BANK - 8329",N221222072260998,09-08-2022,5174,3106.2,INR,UNAPP,2067.8
,,,,"Edelweiss Tokio Life Insurance",200748,QC12-KA,"QC - AXIS BANK - 8329",CITIN22318424349,09-08-2022,8000000,3703500.22,INR,UNAPP,4296499.78
,,,,"Prezenty Infotech",71044,QC12-KA,"QC - AXIS BANK - 8329",FDRLH22222264855,10-08-2022,23600,0,INR,UNAPP,
,,,,"Cdna Technologies",200496,QC12-KA,"QC - AXIS BANK - 8329",FDRLH22223396382,11-08-2022,400000,0,INR,UNAPP,
,,,,"Cdna Technologies",200496,QC12-KA,"QC - AXIS BANK - 8329",FDRLH22222395924,10-08-2022,500000,0,INR,UNAPP,
,,,,"Premier Sales Promotions",201999,QC12-KA,"QC - AXIS BANK - 8329",KKBKH22222856677,10-08-2022,200000,0,INR,UNAPP,
,,,,Nearbuy.Com,201730,QC12-KA,"QC - AXIS BANK - 8329",CMS2762469989,10-08-2022,151890,0,INR,UNAPP,
,,,,"Finnovation Tech Solutions",200873,QC12-KA,"QC - AXIS BANK - 8329",YESB22239810901,11-08-2022,25000000,22740492.83,INR,UNAPP,2259507.17
,,,,"Finnovation Tech Solutions",200878,QC12-KA,"QC - AXIS BANK - 8329",YESB22239812005,11-08-2022,15000000,14542952.61,INR,UNAPP,457047.39
,,,,"Amazon Development Centre",200122,QC12-KA,"QC - AXIS BANK - 8329",HSBCN22224215655,12-08-2022,182500,0,INR,UNAPP,
,,,,"Arevuk Advisory Services",200249,QC12-KA,"QC - AXIS BANK - 8329",AXISCN0160168800,11-08-2022,1197.29,0,INR,UNAPP,
,,,,"Manash Lifestyle",201574,QC12-KA,"QC - AXIS BANK - 8329",CMS2765336326,12-08-2022,700000,0,INR,UNAPP,
,,,,"Basf India",200332,QC12-KA,"QC - AXIS BANK - 8329",CITIN22320158063,12-08-2022,114009942.91,113557942.91,INR,UNAPP,452000
,,,,"Way Dot Com India",76013,QC12-KA,"QC - AXIS BANK - 8329",25-724753154-1,12-08-2022,10000,100,INR,UNAPP,9900
,,,,"Icici Bank",201205,QC12-KA,"QC - AXIS BANK - 8329",ICICH22223484737,11-08-2022,2358750,0,INR,UNAPP,
,,,,"Ameriprise India LLP",9008,QC12-KA,"QC - AXIS BANK - 8329",HSBCN22223201401,11-08-2022,1000000,901429.88,INR,UNAPP,98570.12
,,,,"Eric Enterprises",60018,QC12-KA,"QC - AXIS BANK - 8329",25-723568222-1,12-08-2022,25000,24227.75,INR,UNAPP,772.25
,,,,"Srishti Gifts",202392,QC12-KA,"QC - AXIS BANK - 8329",N224222076783141,12-08-2022,145500,143211,INR,UNAPP,2289
,,,,Recyclink,80005,QC12-KA,"QC - AXIS BANK - 8329",25-724252471-1,12-08-2022,20060,0,INR,UNAPP,
,,,,"Akzo Nobel India",200099,QC12-KA,"QC - AXIS BANK - 8329",222401507GN00001,12-08-2022,3750675,3740775,INR,UNAPP,9900
,,,,"Talash Infosoft",202463,QC12-KA,"QC - AXIS BANK - 8329",25-725427723-1,13-08-2022,5000,3410.86,INR,UNAPP,1589.14
,,,,"Schneider Electric",202267,QC12-KA,"QC - AXIS BANK - 8329",BNPAN22222520472,11-08-2022,550,0,INR,UNAPP,
,,,,"Tupperware India",202618,QC12-KA,"QC - AXIS BANK - 8329",HSBCN22223169795,11-08-2022,2388672,2379762,INR,UNAPP,8910
,,,,"Chumbak Design",200527,QC12-KA,"QC - AXIS BANK - 8329",N223222075261371,11-08-2022,18969,0,INR,UNAPP,
,,,,"Arevuk Advisory Services",200249,QC12-KA,"QC - AXIS BANK - 8329",AXISCN0160358001,12-08-2022,40061.28,0,INR,UNAPP,
,,,,"Perfetti Van Melle India",4026,QC12-KA,"QC - AXIS BANK - 8329",CITIN22320156573,12-08-2022,1000000,0,INR,UNAPP,
,,,,"Futuera Media Worx And Entertainments",51031,QC12-KA,"QC - AXIS BANK - 8329",25-726146222-1,14-08-2022,10000,0,INR,UNAPP,
,,,,"Balaji Communications",80024,QC12-KA,"QC - AXIS BANK - 8329",BARBH22226916460,14-08-2022,5000000,0,INR,UNAPP,
,,,,"Amazon Seller Services",200192,QC12-KA,"QC - AXIS BANK - 8329",222600441GN00106,15-08-2022,312002487.32,0,INR,UNAPP,
,,,,"Breathe India Advisors",200425,QC12-KA,"QC - AXIS BANK - 8329",25-726716229-1,15-08-2022,50000,4401.47,INR,UNAPP,45598.53
,,,,"Balaji Communications",80024,QC12-KA,"QC - AXIS BANK - 8329",BARBH22230861552,18-08-2022,5000000,0,INR,UNAPP,
,,,,"Saluto Wellness",202214,QC12-KA,"QC - AXIS BANK - 8329",INDBN19086586990,19-08-2022,439000,0,INR,UNAPP,
,,,,"Vakils Premedia",70096,QC12-KA,"QC - AXIS BANK - 8329",AXISP00312969012,19-08-2022,20000,12000,INR,UNAPP,8000
,,,,"Samast Technologies",202220,QC12-KA,"QC - AXIS BANK - 8329",208192575402,19-08-2022,1050000,0,INR,UNAPP,
,,,,"WISSEN TECHNOLOGY PVT LTD",82008,QC12-KA,"QC - AXIS BANK - 8329",CMS2775417264,18-08-2022,4000,0,INR,UNAPP,
,,,,"Ibibo Group",74076,QC12-KA,"QC - AXIS BANK - 8329",N231222084421217,19-08-2022,224434.48,0,INR,UNAPP,
,,,,"Peopleprosper Technologies",201929,QC12-KA,"QC - AXIS BANK - 8329",29047445801DC,19-08-2022,300,0,INR,UNAPP,
,,,,"Samast Technologies",202218,QC12-KA,"QC - AXIS BANK - 8329",208192575403,19-08-2022,1633000,134326.02,INR,UNAPP,1498673.98
,,,,"Nowapps Technologies",201776,QC12-KA,"QC - AXIS BANK - 8329",HDFCR52022082090022259,20-08-2022,1000000,0,INR,UNAPP,
,,,,"Arevuk Advisory Services",200249,QC12-KA,"QC - AXIS BANK - 8329",AXISCN0161278727,20-08-2022,56802.73,0,INR,UNAPP,
,,,,"Crompton Greaves Consumer Electricals Ltd",32009,QC12-KA,"QC - AXIS BANK - 8329",SCBLH22231803524,19-08-2022,3776887.75,3776877.98,INR,UNAPP,9.77
,,,,"Arevuk Advisory Services",200249,QC12-KA,"QC - AXIS BANK - 8329",AXISCN0161128243,19-08-2022,1993.07,0,INR,UNAPP,
,,,,"VA Tech Ventures",93022,QC12-KA,"QC - AXIS BANK - 8329",29044958661DC,19-08-2022,3168750,3046875,INR,UNAPP,121875
,,,,"Rekrut World",71082,QC12-KA,"QC - AXIS BANK - 8329",25-720218635-1,10-08-2022,10000,3156,INR,UNAPP,6844
,,,,"Touchstone Enterprises",27002,QC12-KA,"QC - AXIS BANK - 8329",CMS2222222585334,10-08-2022,75000,0,INR,UNAPP,
,,,,"Icici Bank",201205,QC12-KA,"QC - AXIS BANK - 8329",ICICH22229716769,17-08-2022,2924850,0,INR,UNAPP,
,,,,Goapptiv,201026,QC12-KA,"QC - AXIS BANK - 8329",ICICR42022081000503509,10-08-2022,1000000,0,INR,UNAPP,
,,,,"Tech Mahindra Business Services",202498,QC12-KA,"QC - AXIS BANK - 8329",KKBKR22022081200191878,12-08-2022,349998.55,0,INR,UNAPP,
,,,,"Saluto Wellness",202215,QC12-KA,"QC - AXIS BANK - 8329",INDBN07085027286,07-08-2022,300000,0,INR,UNAPP,
,,,,"Mindcurv Technology Solutions",70028,QC12-KA,"QC - AXIS BANK - 8329",N221222072186068,09-08-2022,10000,0,INR,UNAPP,
,,,,"Jk Cement",201348,QC12-KA,"QC - AXIS BANK - 8329",SBINR12022081098812560,10-08-2022,1103230,1102848,INR,UNAPP,382
,,,,"Wealides Fintech",67013,QC12-KA,"QC - AXIS BANK - 8329",28984972221DC,12-08-2022,400000,0,INR,UNAPP,
,,,,"Akzo Nobel Paints Marketing Sdn Bhd",67017,QC12-KA,"QC - AXIS BANK - 4062","BRN-REF NO.1541FIR2202336 USD",08-08-2022,471,0,USD,UNAPP,
,,,,"Lifafa Tech Services",201480,QC12-KA,"QC - AXIS BANK - 8329",28961390801DC,10-08-2022,185668,185666,INR,UNAPP,2
,,,,"Srihitha Shopping Services",53001,QC12-KA,"QC - AXIS BANK - 8329",28983238281DC,12-08-2022,100000,0,INR,UNAPP,
,,,,"Arevuk Advisory Services",200249,QC12-KA,"QC - AXIS BANK - 8329",AXISCN0159684740,08-08-2022,199.76,0,INR,UNAPP,
,,,,"Eminence Gifts",69024,QC12-KA,"QC - AXIS BANK - 8329",N220222070351182,08-08-2022,200000,197570,INR,UNAPP,2430
,,,,"Flipkart Internet",200885,QC12-KA,"QC - AXIS BANK - 8329",HSBCN22222017508,10-08-2022,34928.76,0,INR,UNAPP,
,,,,Esperanza,68073,QC12-KA,"QC - AXIS BANK - 8329",009222210500939,09-08-2022,23166,21371,INR,UNAPP,1795
,,,,"Excellent Global Endeavors LLP",4053,QC12-KA,"QC - AXIS BANK - 8329",25-715495795-1,07-08-2022,150000,0,INR,UNAPP,
,,,,"Ibibo Group",74076,QC12-KA,"QC - AXIS BANK - 8329",N222222074379963,10-08-2022,4767336.94,0,INR,UNAPP,
,,,,"Samast Technologies",202220,QC12-KA,"QC - AXIS BANK - 8329",208102654827,10-08-2022,97000,0,INR,UNAPP,
,,,,"Watermark Marketing",202732,QC12-KA,"QC - AXIS BANK - 8329",N223222076341658,11-08-2022,23500,21150,INR,UNAPP,2350
,,,,"Zaggle Prepaid Ocean Services",202801,QC12-KA,"QC - AXIS BANK - 8329",25-724509746-1,12-08-2022,5700,0,INR,UNAPP,
,,,,"Saluto Wellness",202215,QC12-KA,"QC - AXIS BANK - 8329",INDBN12085843225,12-08-2022,500000,0,INR,UNAPP,
,,,,"Kwench Global Technologies",201452,QC12-KA,"QC - AXIS BANK - 8329",CMS2242222807900,12-08-2022,4995000,0,INR,UNAPP,
,,,,"Balaji Communications",80024,QC12-KA,"QC - AXIS BANK - 8329",BARBH22226914539,13-08-2022,6700000,5265668,INR,UNAPP,1434332
,,,,"Icici Bank",201205,QC12-KA,"QC - AXIS BANK - 8329",ICICH22224526606,12-08-2022,1711521.9,0,INR,UNAPP,
,,,,MOBICASH,20001,QC12-KA,"QC - AXIS BANK - 8329",KKBKR52022081300899400,13-08-2022,248000,57160,INR,UNAPP,190840
,,,,Yougotagift.Com,202791,QC12-KA,"QC - INDUSIND BANK - 2264",IRM0008221102778,12-08-2022,15853,0,USD,UNAPP,
,,,,"Brandzone Entertainment",200424,QC12-KA,"QC - AXIS BANK - 8329",25-724038848-1,12-08-2022,100000,72243.18,INR,UNAPP,27756.82
,,,,"Think & Learn",55013,QC12-KA,"QC - AXIS BANK - 8329",ICICR22022081600000587,16-08-2022,1500000,1442170.71,INR,UNAPP,57829.29
,,,,"Smsdaak India",201293,QC12-KA,"QC - AXIS BANK - 8329",SBINR12022081699494327,16-08-2022,500000,358898.2,INR,UNAPP,141101.8
,,,,"Samast Technologies",202220,QC12-KA,"QC - AXIS BANK - 8329",208168278674,16-08-2022,772000,0,INR,UNAPP,
,,,,"Sagar Finstocks",70019,QC12-KA,"QC - AXIS BANK - 8329",29011811561DC,16-08-2022,7492,0,INR,UNAPP,
,,,,"Zaggle Prepaid Ocean Services",202801,QC12-KA,"QC - AXIS BANK - 8329",29012341402DC,16-08-2022,29250,0,INR,UNAPP,
,,,,"A1 Mobile Enterprises",200025,QC12-KA,"QC - AXIS BANK - 8329",25-728176500-1,16-08-2022,140000,71904.36,INR,UNAPP,68095.64
,,,,"Nivid Rewards",3002,QC12-KA,"QC - AXIS BANK - 8329",25-728571778-1,16-08-2022,20000,0,INR,UNAPP,
,,,,Nearbuy.Com,201730,QC12-KA,"QC - AXIS BANK - 8329",CMS2773242637,17-08-2022,68468,0,INR,UNAPP,
,,,,"Bigtree Entertainement Pvt Ltd",18114,QC12-KA,"QC - AXIS BANK - 8329",KKBK222299444140,17-08-2022,45729.6,0,INR,UNAPP,
,,,,"Balaji Communications",80024,QC12-KA,"QC - AXIS BANK - 8329",BARBH22229799290,17-08-2022,6900000,0,INR,UNAPP,
,,,,"MPower International Student",67090,QC12-KA,"QC - AXIS BANK - 8329",25-730563216-1,17-08-2022,100000,0,INR,UNAPP,
,,,,"Cell Chennai",200497,QC12-KA,"QC - AXIS BANK - 8329",25-730719834-1,17-08-2022,100000,47782,INR,UNAPP,52218
,,,,"GMO Research Pvt Ltd ",7027,QC12-KA,"QC - AXIS BANK - 8329",STO-793-902174,17-08-2022,100000,0,INR,UNAPP,
,,,,"Aristocrat Technologies India",55040,QC12-KA,"QC - AXIS BANK - 8329",CITIN22321214002,17-08-2022,96000,84172,INR,UNAPP,11828
,,,,"Manash Lifestyle",201573,QC12-KA,"QC - AXIS BANK - 8329",HSBCN22229712014,17-08-2022,29550,21244.15,INR,UNAPP,8305.85
,,,,"Amazon Seller Services",200192,QC12-KA,"QC - AXIS BANK - 8329",222900809GN00386,17-08-2022,194433079.18,0,INR,UNAPP,
,,,,"Paymentgenie Private Limited",76012,QC12-KA,"QC - AXIS BANK - 8329",YESOB22280017530,16-08-2022,250690,0,INR,UNAPP,
,,,,Goapptiv,201023,QC12-KA,"QC - AXIS BANK - 8329",ICICR42022081600545263,16-08-2022,1000000,0,INR,UNAPP,
,,,,"Balaji Communications",80024,QC12-KA,"QC - AXIS BANK - 8329",BARBH22228979597,16-08-2022,7000000,0,INR,UNAPP,
,,,,"Heritage Nutrivet",83034,QC12-KA,"QC - AXIS BANK - 8329",CMS2282222910692,16-08-2022,20613,9000.6,INR,UNAPP,11612.4
,,,,"Balaji Communications",80024,QC12-KA,"QC - AXIS BANK - 8329",BARBH22228984238,16-08-2022,6400000,0,INR,UNAPP,
,,,,"Balaji Communications",80024,QC12-KA,"QC - AXIS BANK - 8329",BARBH22229750277,17-08-2022,5000000,0,INR,UNAPP,
,,,,"Flipkart Internet",200885,QC12-KA,"QC - AXIS BANK - 8329",HSBCN22229792344,17-08-2022,10685949.46,0,INR,UNAPP,
,,,,"Crompton Greaves Consumer Electricals Ltd",32009,QC12-KA,"QC - AXIS BANK - 8329",SCBLH22229814476,17-08-2022,14346130.18,14346111.95,INR,UNAPP,18.23
,,,,"Technobubble Innovation Lab Pvt Ltd",60033,QC12-KA,"QC - AXIS BANK - 8329",29027468811DC,17-08-2022,600000,260639.47,INR,UNAPP,339360.53
,,,,"Crompton Greaves Consumer Electricals Ltd",32009,QC12-KA,"QC - AXIS BANK - 8329",SCBLH22229814210,17-08-2022,2499416,2499413,INR,UNAPP,3
,,,,"Akzo Nobel India",200099,QC12-KA,"QC - AXIS BANK - 8329",223000086GN00011,18-08-2022,1537046,1049587,INR,UNAPP,487459
,,,,"Akzo Nobel India",200099,QC12-KA,"QC - AXIS BANK - 8329",223100091GN00007,19-08-2022,535150,436147,INR,UNAPP,99003
,,,,Goapptiv,201025,QC12-KA,"QC - AXIS BANK - 8329",ICICR42022081800547955,18-08-2022,1000000,0,INR,UNAPP,
,,,,"Grovalue Industries",201078,QC12-KA,"QC - AXIS BANK - 8329",N222222072903494,10-08-2022,100000,0,INR,UNAPP,
,,,,"Reallearning Technologies",71040,QC12-KA,"QC - AXIS BANK - 8329",25-731777943-1,18-08-2022,51000,31000,INR,UNAPP,20000
,,,,"Nowapps Technologies",201776,QC12-KA,"QC - AXIS BANK - 8329",HDFCR52022081889623929,18-08-2022,1000000,648674.28,INR,UNAPP,351325.72
,,,,"Arevuk Advisory Services",200249,QC12-KA,"QC - AXIS BANK - 8329",AXISCN0160972532,18-08-2022,1494.79,0,INR,UNAPP,
,,,,"Excellent Global Endeavors LLP",4053,QC12-KA,"QC - AXIS BANK - 8329",29034182381DC,18-08-2022,150000,0,INR,UNAPP,
,,,,"Sushyn Solutions Private Limited",27024,QC12-KA,"QC - AXIS BANK - 8329",29168863221DC,31-08-2022,5000,0,INR,UNAPP,
,,,,"Sushyn Solutions Private Limited",27024,QC12-KA,"QC - AXIS BANK - 8329",29104566431DC,25-08-2022,5000,0,INR,UNAPP,
,,,,"Mobiquity Softech",70132,QC12-KA,"QC - AXIS BANK - 8329",N237222090917380,25-08-2022,30000,16900,INR,UNAPP,13100
,,,,"Monsento India",201679,QC12-KA,"QC - AXIS BANK - 8329",CITIN22324743599,25-08-2022,3386,0,INR,UNAPP,
,,,,"Bhanix Finance And Investment",35076,QC12-KA,"QC - AXIS BANK - 8329",KKBKR22022082600256851,26-08-2022,1000000,966980.33,INR,UNAPP,33019.67
,,,,"Easyrewardz Software Services",67006,QC12-KA,"QC - AXIS BANK - 8329",AXISP00314419637,26-08-2022,200000,0,INR,UNAPP,
,,,,"Integral Education Society",80026,QC12-KA,"QC - AXIS BANK - 8329",AXISP00314399232,26-08-2022,10000,7800,INR,UNAPP,2200
,,,,"Samast Technologies",202220,QC12-KA,"QC - AXIS BANK - 8329",208260476496,26-08-2022,1490000,0,INR,UNAPP,
,,,,"True Agroroots",96015,QC12-KA,"QC - AXIS BANK - 8329",CMS2787835550,25-08-2022,2189,0,INR,UNAPP,
,,,,"Amazon Seller Services",200177,QC12-KA,"QC - AXIS BANK - 8329",HSBCN22238852660,26-08-2022,250000000,0,INR,UNAPP,
,,,,"Geekyants India",70008,QC12-KA,"QC - AXIS BANK - 8329",29115280401DC,26-08-2022,50000,23960.06,INR,UNAPP,26039.94
,,,,"Betterdays Technologies",70042,QC12-KA,"QC - AXIS BANK - 8329",25-744114421-1,26-08-2022,500,0,INR,UNAPP,
,,,,"Paymentgenie Private Limited",76012,QC12-KA,"QC - AXIS BANK - 8329",YESOB22430017653,31-08-2022,70950,0,INR,UNAPP,
,,,,"Sushyn Solutions Private Limited",27024,QC12-KA,"QC - AXIS BANK - 8329",29168703621DC,31-08-2022,5000,0,INR,UNAPP,
